District,Rooms,Price
Kocasinan / Yenişehir,3+1,25000.0
Kocasinan / Merkez,2+1,20000.0
Melikgazi / Şeker/Keykubat,2+1,22000.0
Talas,3+1,20000.0
Kocasinan / Fevziçakmak,1+1,21950.0
Kocasinan / Yenişehir,4+1,32000.0
Kocasinan / Fevziçakmak,3+1,30500.0
Talas,3+1,37000.0
Talas,2+1,29000.0
Talas,3+1,20000.0
Melikgazi / Mimarsinan,4+1,24000.0
Kocasinan / Yenişehir,4+1,26000.0
Kocasinan / Fevziçakmak,4+1,26500.0
Talas,2.5+1,21500.0
Melikgazi / Kılıçaslan,2+1,20000.0
Talas,4+1,35000.0
Melikgazi / Hürriyet,5+1,27500.0
Melikgazi / Kılıçaslan,3+1,25000.0
Talas,3+1,20500.0
Kocasinan / Fevziçakmak,3+1,26000.0
Talas,2.5+1,30000.0
Talas,2.5+1,25000.0
Talas,3+1,20000.0
Talas,2.5+1,22000.0
Talas,2.5+1,25000.0
Talas,3+1,20000.0
Talas,3+1,20000.0
Kocasinan / Merkez,3+0,25000.0
Talas,3+1,23000.0
Kocasinan / Erkilet,3+1,20000.0
Talas,2.5+1,32500.0
Kocasinan / Sanayi,2+1,25000.0
Talas,3+1,22000.0
Talas,2+1,27000.0
Talas,3+1,23000.0
Kocasinan / Merkez,4+1,39500.0
Talas,2+1,27000.0
Talas,2.5+1,28000.0
Talas,2.5+1,20500.0
Talas,2+1,25000.0
Talas,3+1,35000.0
Talas,3+1,20000.0
Talas,1+1,25000.0
Talas,2+1,29000.0
Talas,3+1,23500.0
Talas,3+1,20000.0
Talas,3+1,28000.0
Talas,2.5+1,23500.0
Melikgazi / Kılıçaslan,2.5+1,32000.0
Talas,2+1,29000.0
Talas,2+1,29000.0
Talas,3+1,23500.0
Melikgazi / Kılıçaslan,4+1,39000.0
Kocasinan / Sanayi,3+1,50000.0
Melikgazi / Kılıçaslan,6+2,50000.0
Melikgazi / Kılıçaslan,4+1,55000.0
Kocasinan / Merkez,4+1,45000.0
Melikgazi / Kılıçaslan,4+1,40000.0
Kocasinan / Merkez,4+1,40000.0
Melikgazi / Becen,4+1,40000.0
Melikgazi / Kılıçaslan,4+1,45000.0
Melikgazi / Kılıçaslan,4+1,42000.0
Akkışla / Köyler,2+1,55000.0
Kocasinan / Fevziçakmak,4+1,40000.0
Melikgazi / Gesi,4+1,50000.0
Melikgazi / Kılıçaslan,6+1,42500.0
Melikgazi / Kılıçaslan,4+1,42500.0
Melikgazi / Kılıçaslan,4+1,40000.0
Talas,4+1,49500.0
Melikgazi / Mimarsinan,6+2,50000.0
Melikgazi / Kılıçaslan,4+1,43000.0
Melikgazi / Kılıçaslan,3+1,40000.0
Melikgazi / Kılıçaslan,6+2,50000.0
Melikgazi / Hürriyet,3+1,45000.0
Melikgazi / Becen,3.5+1,45000.0
Melikgazi / Mimarsinan,3.5+1,52500.0
Kocasinan / Fevziçakmak,4+1,40500.0
Talas,7+2,57000.0
Kocasinan / Merkez,4.5+1,42500.0
Kocasinan / Merkez,4+1,45000.0
Kocasinan / Sanayi,4+1,57000.0
Melikgazi / Kılıçaslan,6+1,40000.0
Melikgazi / Kılıçaslan,3+1,45000.0
Melikgazi / Hürriyet,4+1,55000.0
Melikgazi / Becen,4+1,45500.0
Melikgazi / Kılıçaslan,4+1,45000.0
Melikgazi / Gesi,3+1,55000.0
Talas,4+1,50000.0
Melikgazi / Kılıçaslan,4+1,46500.0
Melikgazi / Kılıçaslan,5+1,62500.0
Talas,4+1,60000.0
Melikgazi / Kılıçaslan,4+1,75000.0
Talas,3+1,69000.0
Melikgazi / Hürriyet,6+1,95000.0
Melikgazi / Hürriyet,4+1,78000.0
Melikgazi / Gesi,6+1,70000.0
Kocasinan / Erkilet,5+1,64000.0
Melikgazi / Hürriyet,8+2,64000.0
Kocasinan / Sanayi,5+1,75000.0
Melikgazi / Becen,5+1,70000.0
Melikgazi / Merkez,4+1,75000.0
Melikgazi / Gesi,4+2,70000.0
Talas,,60000.0
Melikgazi / Becen,4+1,65000.0
Melikgazi / Hürriyet,4+2,60000.0
Melikgazi / Becen,7+1,95000.0
Melikgazi / Becen,6+2,65000.0
Kocasinan / Erkilet,5+1,65000.0
Melikgazi / Kılıçaslan,4+1,60000.0
Talas,5+1,65000.0
Kocasinan / Sanayi,5+1,75000.0
Melikgazi / Merkez,4+1,80000.0
Melikgazi / Becen,6+2,150000.0
Talas,3+1,299000.0
Melikgazi / Becen,4+1,110000.0
Melikgazi / Becen,9+2,100000.0
Melikgazi / Kılıçaslan,4.5+1,600000.0
Kocasinan / Yenimahalle,4+1,350000.0
Melikgazi / Kılıçaslan,4+1,375000.0
Melikgazi / Becen,4.5+1,100000.0
Melikgazi / Becen,4.5+1,110000.0
Melikgazi / Becen,8+1,350000.0
Melikgazi / Becen,8+1,130000.0
Talas,3.5+1,350000.0
Melikgazi / Becen,7+1,120000.0
Melikgazi / Merkez,3+1,720000.0
Melikgazi / Becen,5+1,150000.0
Kocasinan / Erkilet,3.5+1,260000.0
Melikgazi / Kılıçaslan,4.5+1,100000.0
Melikgazi / Becen,5+1,100000.0
Talas,7+1,240000.0
Melikgazi / Kılıçaslan,2+1,200000.0
Melikgazi / Becen,8+3,120000.0
Melikgazi / Becen,4+1,210000.0
Melikgazi / Becen,6+2,100000.0
Melikgazi / Becen,10 Üzeri,155000.0
Melikgazi / Becen,4+1,225000.0
Melikgazi / Hürriyet,3+2,100000.0
Melikgazi / Çiftlik,3+1,135000.0
Hacılar,2.5+1,350000.0
