product-name,kategori,product_id,product_price
Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR,Et ve Tavuk,12301,519.0
Apikoğlu Dana Kangal Sucuk 280 Gr,Et ve Tavuk,12297,749.9
Apikoğlu Dana Parmak Sucuk - 500 Gr.,Et ve Tavuk,12299,1199.5
Apikoğlu Dana Yarım Kangal Sucuk 180 Gr,Et ve Tavuk,12904,299.9
Apikoğlu Kurutulmuş Dana Füme Et 100 GR,Et ve Tavuk,12303,569.0
Bolca Hindi Bonfile - 1 Kg.,Et ve Tavuk,1968,539.9
Bolca Tabaklı Alt But Kemiksiz Hindi - 1 Kg.,Et ve Tavuk,1969,559.9
Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr,Et ve Tavuk,6603,359.9
Çapanoğlu Dana Füme Et 60 Gr,Et ve Tavuk,12890,159.9
Çapanoğlu Dana Kurutulmuş Füme Et 60 Gr,Et ve Tavuk,6519,259.9
Çapanoğlu Fümechef Dana Füme Antrikot 100 Gr,Et ve Tavuk,6522,399.9
Çapanoğlu Fümechef Karabiberli Dana Rosatbeef 100 Gr,Et ve Tavuk,12406,399.9
Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) - 2 Kg.,Et ve Tavuk,8066,539.8
Akdeniz Toros Dana Burger 360 Gr,Et ve Tavuk,11066,569.9
Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr,Et ve Tavuk,11067,349.9
Akdeniz Toros Dana Sosis 5'li 250 Gr,Et ve Tavuk,11068,329.9
Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Satılır) - 2 Kg.,Et ve Tavuk,7303,599.8
Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),Et ve Tavuk,9367,429.9
Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,2907,299.9
Akdeniz Toros Piliç But (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,7394,259.9
Akdeniz Toros Piliç Izgara Tava (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,9360,359.9
Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,9359,529.9
