District,Rooms,Price
Kocasinan / Fevziçakmak,2+1,9000.0
Kocasinan / Yenimahalle,2+1,8000.0
Melikgazi / Hürriyet,2.5+1,9500.0
Kocasinan / Sanayi,3+1,6500.0
Melikgazi / Mimarsinan,2+1,8500.0
Melikgazi / Kılıçaslan,2+1,7000.0
Melikgazi / Merkez,2+1,9000.0
Kocasinan / Sanayi,3+1,7500.0
Kocasinan / Argıncık,2+1,6750.0
Talas,2+1,7800.0
Melikgazi / Mimarsinan,2+1,8000.0
Melikgazi / Hürriyet,2+1,6500.0
Melikgazi / Mimarsinan,2+1,9000.0
Melikgazi / Hürriyet,Stüdyo (1+0),9000.0
Kocasinan / Sanayi,2+1,9000.0
Kocasinan / Yenişehir,3+1,7000.0
Melikgazi / Mimarsinan,2+1,9500.0
Melikgazi / Hürriyet,2+1,9500.0
Kocasinan / Argıncık,3+1,9000.0
Melikgazi / Hürriyet,3+1,7500.0
Kocasinan / Sanayi,3+1,7000.0
Kocasinan / Sanayi,2+1,8000.0
Kocasinan / Fevziçakmak,2+0,9000.0
Melikgazi / Mimarsinan,3+1,6000.0
Kocasinan / Fevziçakmak,3+1,9250.0
Melikgazi / Çiftlik,3+1,8000.0
Kocasinan / Fevziçakmak,2+1,8500.0
Talas,3+1,9500.0
Melikgazi / Kılıçaslan,2+1,8000.0
Kocasinan / Fevziçakmak,1+1,8500.0
Melikgazi / Hürriyet,3+1,8000.0
Melikgazi / Çiftlik,3+1,9000.0
Kocasinan / Güneşli,Stüdyo (1+0),9000.0
Melikgazi / Mimarsinan,2+1,9750.0
İncesu / Köyler,2+1,8000.0
Kocasinan / Fevziçakmak,3+1,9000.0
Melikgazi / Merkez,3+0,9500.0
Yeşilhisar,2+1,8900.0
Melikgazi / Becen,2+1,7500.0
Melikgazi / Mimarsinan,2+1,8499.0
Kocasinan / Sanayi,2+1,5000.0
Kocasinan / Argıncık,2+1,8000.0
Kocasinan / Sanayi,2+1,8000.0
Melikgazi / Kılıçaslan,2.5+1,8250.0
Kocasinan / Yenimahalle,2+1,8500.0
Kocasinan / Yenimahalle,2+1,7500.0
Melikgazi / Şeker/Keykubat,2+1,7500.0
Melikgazi / Şeker/Keykubat,3+1,8000.0
Melikgazi / Hürriyet,3+1,9000.0
Kocasinan / Fevziçakmak,2+1,9500.0
Melikgazi / Mimarsinan,2+1,8000.0
Kocasinan / Fevziçakmak,3+1,8250.0
Melikgazi / Hürriyet,3+1,8000.0
Kocasinan / Yenimahalle,1+1,1500.0
Melikgazi / Hisarcık,,1500.0
Kocasinan / Fevziçakmak,2+1,6000.0
Melikgazi / Hürriyet,3+1,7000.0
Kocasinan / Yenimahalle,3+1,5500.0
Talas,3+1,8000.0
İncesu / Köyler,2+1,9000.0
Talas,3+1,8000.0
Melikgazi / Kılıçaslan,3+1,7500.0
Melikgazi / Mimarsinan,2+1,9900.0
Kocasinan / Fevziçakmak,3+1,6000.0
Talas,2.5+1,8000.0
Kocasinan / Fevziçakmak,3+1,9000.0
Kocasinan / Sanayi,3+1,7000.0
Melikgazi / Hürriyet,2+1,7000.0
Melikgazi / Hürriyet,3+1,8000.0
Kocasinan / Sanayi,3+1,9750.0
Kocasinan / Sanayi,3+1,9000.0
Kocasinan / Sanayi,2+1,7250.0
Melikgazi / Hürriyet,2+1,9750.0
Kocasinan / Sanayi,3+1,7800.0
Kocasinan / İldem/Beyazşehir,2+1,9000.0
Melikgazi / Mimarsinan,2+1,9000.0
Melikgazi / Hürriyet,1+1,8500.0
İncesu,2+1,9000.0
Melikgazi / Kılıçaslan,3+1,10500.0
Kocasinan / Yenişehir,2+1,13000.0
Kocasinan / Sanayi,2+1,10000.0
Kocasinan / Fevziçakmak,2.5+1,10000.0
Melikgazi / Kılıçaslan,3+1,14000.0
Kocasinan / Fevziçakmak,3+1,12500.0
Kocasinan / Yenimahalle,3+1,14000.0
Kocasinan / Fevziçakmak,3+1,10000.0
Kocasinan / Fevziçakmak,2+1,13250.0
Kocasinan / İldem/Beyazşehir,2+1,11000.0
Melikgazi / Mimarsinan,3+1,12500.0
Melikgazi / Mimarsinan,2+1,10500.0
Kocasinan / Fevziçakmak,3+1,11000.0
Kocasinan / Erkilet,2+1,10000.0
Melikgazi / Merkez,3+1,13500.0
Melikgazi / Mimarsinan,2+1,10000.0
Melikgazi / Şeker/Keykubat,3+1,12000.0
Kocasinan / Yenişehir,3+1,11500.0
Kocasinan / Yenimahalle,2.5+1,11000.0
Kocasinan / Merkez,2+1,13500.0
Kocasinan / İldem/Beyazşehir,3+1,13000.0
İncesu,2+1,10000.0
Melikgazi / Hürriyet,3+1,12000.0
Melikgazi / Hürriyet,3+1,10000.0
Kocasinan / Merkez,1+1,13000.0
Melikgazi / Mimarsinan,2+1,10000.0
Melikgazi / Şeker/Keykubat,3+1,14000.0
Kocasinan / Yenişehir,3+1,12000.0
Melikgazi / Mimarsinan,3+1,14000.0
Kocasinan / Yenimahalle,3+1,14000.0
Melikgazi / Mimarsinan,3+1,12000.0
Kocasinan / Yenişehir,2+1,12750.0
Kocasinan / Yenişehir,3+1,12500.0
Melikgazi / Mimarsinan,2.5+1,12500.0
Melikgazi / Mimarsinan,3+1,14500.0
Melikgazi / Mimarsinan,2+1,14500.0
Melikgazi / Mimarsinan,3+1,13000.0
Melikgazi / Kazımkarabekir,3+1,13300.0
Melikgazi / Mimarsinan,3+1,12000.0
Kocasinan / Yenimahalle,2+1,10000.0
Kocasinan / Yenişehir,2+1,12500.0
Melikgazi / Kılıçaslan,3+1,10000.0
Melikgazi / Gesi,3+1,14000.0
Kocasinan / Yenişehir,2+1,11000.0
Kocasinan / Merkez,1+1,14000.0
Talas,3+1,13500.0
Kocasinan / Merkez,4+0,14000.0
Kocasinan / Erkilet,2+1,13000.0
Melikgazi / Kazımkarabekir,3+1,12500.0
Melikgazi / Mimarsinan,2+1,10000.0
Kocasinan / Merkez,2+1,11500.0
Kocasinan / Merkez,2+1,14500.0
Kocasinan / Argıncık,3+1,11000.0
Kocasinan / Sanayi,3+1,10000.0
Kocasinan / İldem/Beyazşehir,3+1,13750.0
Kocasinan / Fevziçakmak,2+1,14000.0
Kocasinan / Yenişehir,2+1,12000.0
Kocasinan / Fevziçakmak,2+1,12000.0
Kocasinan / Yenişehir,3+1,11500.0
Melikgazi / Mimarsinan,3+1,11000.0
Kocasinan / Yenimahalle,3+1,10000.0
Melikgazi / Hürriyet,2+1,10000.0
Melikgazi / Gesi,2+1,14000.0
Develi,3+1,13000.0
Kocasinan / Sanayi,3+1,10900.0
Melikgazi / Hürriyet,Stüdyo (1+0),14995.0
Melikgazi / Kazımkarabekir,2+1,11500.0
Melikgazi / Hisarcık,3+1,12000.0
Talas,3+1,14000.0
Melikgazi / Mimarsinan,1+1,13000.0
Melikgazi / Hürriyet,2+1,12000.0
Melikgazi / Şeker/Keykubat,3+1,12000.0
Kocasinan / Erkilet,3+1,13000.0
Talas,3+1,14500.0
Kocasinan / Fevziçakmak,2+1,13000.0
Talas,3+1,12500.0
Talas,Stüdyo (1+0),12500.0
Melikgazi / Kılıçaslan,3+1,10000.0
Melikgazi / Mimarsinan,2+1,12500.0
Kocasinan / Merkez,2+1,10000.0
Melikgazi / Kılıçaslan,3+1,10000.0
Kocasinan / Yenimahalle,2+1,11500.0
Melikgazi / Şeker/Keykubat,3+1,14750.0
Melikgazi / Hürriyet,3+1,12000.0
Melikgazi / Gesi,3+1,11500.0
Melikgazi / Gesi,3+1,14000.0
Kocasinan / Sanayi,3+1,14000.0
Melikgazi / Hürriyet,3+1,14000.0
Kocasinan / Yenişehir,3+1,13000.0
Kocasinan / Yenişehir,2+1,10000.0
Kocasinan / Yenişehir,3+1,14000.0
Melikgazi / Mimarsinan,3+1,12000.0
Kocasinan / Yenişehir,2+1,10000.0
Melikgazi / Gesi,2+1,14000.0
Kocasinan / Yenimahalle,3+1,13500.0
İncesu / Köyler,2+1,11000.0
Kocasinan / İldem/Beyazşehir,3+1,14000.0
Kocasinan / Yenimahalle,2+1,13000.0
Talas,2+1,11000.0
Melikgazi / Mimarsinan,3+1,13500.0
Melikgazi / Şeker/Keykubat,3+1,14500.0
Kocasinan / Fevziçakmak,3+1,11800.0
Kocasinan / Merkez,2+1,14500.0
Melikgazi / Şeker/Keykubat,3+1,12500.0
Melikgazi / Çiftlik,3+1,14000.0
Talas,3+1,14000.0
Melikgazi / Mimarsinan,3+1,10000.0
Kocasinan / Erkilet,2+1,13000.0
Talas,3+1,14000.0
Kocasinan / Sanayi,3+1,12000.0
Talas,3+1,10000.0
Kocasinan / Erkilet,2+1,13250.0
Kocasinan / Erkilet,2+1,14000.0
Kocasinan / İldem/Beyazşehir,3+1,14000.0
Kocasinan / Fevziçakmak,3+1,13000.0
Talas,3+1,14000.0
Kocasinan / Fevziçakmak,3+1,12000.0
İncesu / Köyler,2.5+1,10000.0
Kocasinan / Yenişehir,3+1,13000.0
Melikgazi / Kılıçaslan,3+1,11000.0
Kocasinan / Yenimahalle,3+1,12000.0
Kocasinan / Fevziçakmak,3+1,13000.0
Melikgazi / Mimarsinan,3+1,11000.0
Melikgazi / Becen,3+1,13000.0
Kocasinan / Yenişehir,3+1,13000.0
Melikgazi / Gesi,3+1,14000.0
Melikgazi / Mimarsinan,2.5+1,11000.0
Kocasinan / Erkilet,2+1,12500.0
Melikgazi / Gesi,3+1,11500.0
Kocasinan / Erkilet,2+1,13500.0
Kocasinan / Erkilet,3+1,13000.0
Melikgazi / Gesi,3+1,11250.0
Kocasinan / Yenimahalle,3+1,13500.0
Bünyan,2+1,10000.0
Kocasinan / Yenişehir,3+1,10000.0
Kocasinan / Erkilet,2+1,13500.0
Melikgazi / Şeker/Keykubat,3+1,13500.0
Kocasinan / Merkez,2+1,14500.0
Kocasinan / Erkilet,2+1,14000.0
Kocasinan / Fevziçakmak,2+1,13000.0
Kocasinan / Erkilet,2+1,13750.0
Kocasinan / Sanayi,3+1,10000.0
Kocasinan / Yenişehir,3+1,14500.0
Kocasinan / Erkilet,2+1,10000.0
Develi,3+1,14000.0
Melikgazi / Becen,2+1,11500.0
Melikgazi / Becen,2+1,12995.0
Kocasinan / Yenişehir,2+1,11000.0
Yeşilhisar,3+1,13000.0
Talas,3+1,14000.0
Melikgazi / Gesi,2+1,11000.0
Kocasinan / Merkez,2+1,14000.0
Melikgazi / Hürriyet,3+1,14500.0
Melikgazi / Hürriyet,2+1,11500.0
Melikgazi / Kılıçaslan,3+1,12000.0
Melikgazi / Mimarsinan,2+1,12500.0
Melikgazi / Merkez,3+1,10000.0
Kocasinan / Yenişehir,3+1,13500.0
Melikgazi / Mimarsinan,2+1,13000.0
Melikgazi / Merkez,3+1,13300.0
Develi,2+1,12000.0
Melikgazi / Gesi,2+1,11000.0
Kocasinan / Yenişehir,3+1,12000.0
Melikgazi / Hürriyet,3+1,13500.0
Kocasinan / Erkilet,2+1,13500.0
Kocasinan / İldem/Beyazşehir,3+1,12499.0
Kocasinan / Fevziçakmak,2+1,13000.0
Kocasinan / Fevziçakmak,3+1,12500.0
Melikgazi / Gesi,3+1,13250.0
Melikgazi / Kılıçaslan,3+1,13000.0
Kocasinan / Fevziçakmak,3+1,10500.0
Melikgazi / Şeker/Keykubat,3+1,10000.0
Melikgazi / Şeker/Keykubat,3+1,14000.0
Melikgazi / Mimarsinan,2+1,13750.0
Melikgazi / Çiftlik,2+1,11500.0
Melikgazi / Gesi,3+1,13500.0
Kocasinan / Yenimahalle,2+1,10000.0
Melikgazi / Hürriyet,3+1,10000.0
Yahyalı,1+1,14000.0
Melikgazi / Şeker/Keykubat,3+1,11500.0
Melikgazi / Mimarsinan,3+1,12000.0
Melikgazi / Mimarsinan,3+1,12000.0
Talas,3+1,14500.0
Melikgazi / Mimarsinan,2+1,10000.0
Melikgazi / Mimarsinan,2+1,10500.0
Talas,3+1,10000.0
Melikgazi / Şeker/Keykubat,3+1,12000.0
Kocasinan / Erkilet,2+1,13000.0
Kocasinan / Fevziçakmak,3+1,14000.0
Melikgazi / Mimarsinan,2+1,10500.0
Kocasinan / Yenişehir,3+1,13000.0
Kocasinan / Yenimahalle,2+1,12000.0
Melikgazi / Kılıçaslan,2+1,14000.0
Melikgazi / Mimarsinan,3+1,11000.0
Melikgazi / Şeker/Keykubat,3+1,12500.0
Talas,2+1,10000.0
Kocasinan / Yenimahalle,2+1,11000.0
Kocasinan / Sanayi,3+1,10000.0
Melikgazi / Kılıçaslan,1+1,13500.0
Kocasinan / Yenişehir,3+1,10000.0
Kocasinan / İldem/Beyazşehir,2+1,10500.0
Kocasinan / Sanayi,3+1,10500.0
Kocasinan / Yenişehir,3+1,14000.0
Kocasinan / Fevziçakmak,3+1,12450.0
Melikgazi / Mimarsinan,3+1,12500.0
Kocasinan / Yenişehir,3+1,13000.0
Kocasinan / Merkez,1+1,14000.0
Melikgazi / Mimarsinan,3+1,12000.0
Melikgazi / Mimarsinan,2+1,10500.0
Melikgazi / Mimarsinan,3+1,12000.0
Melikgazi / Gesi,3+1,12000.0
Kocasinan / Yenişehir,2+1,13000.0
Melikgazi / Şeker/Keykubat,3+1,14000.0
Kocasinan / Fevziçakmak,3+1,12500.0
İncesu / Köyler,2+1,10000.0
Melikgazi / Şeker/Keykubat,3+1,13000.0
Kocasinan / İldem/Beyazşehir,3+1,14000.0
Talas,2+1,10500.0
Kocasinan / Erkilet,2+1,10500.0
Kocasinan / Argıncık,3+1,10000.0
Melikgazi / Kılıçaslan,3+1,14500.0
Kocasinan / Merkez,2+1,14999.0
Melikgazi / Hürriyet,3+1,13800.0
Kocasinan / Merkez,2+1,12000.0
Kocasinan / Fevziçakmak,3+1,12250.0
Kocasinan / Yenişehir,3+1,13000.0
Melikgazi / Mimarsinan,2+1,12000.0
Melikgazi / Şeker/Keykubat,2+1,11500.0
Develi,3+1,13500.0
Melikgazi / Mimarsinan,3+1,13000.0
Melikgazi / Gesi,3+1,12500.0
Talas,3+1,10000.0
Kocasinan / Fevziçakmak,3+1,12000.0
Kocasinan / Yenişehir,3+1,13500.0
Melikgazi / Şeker/Keykubat,3+1,13000.0
Melikgazi / Şeker/Keykubat,3+1,11000.0
Kocasinan / Merkez,2+1,14500.0
Kocasinan / Erkilet,2+1,12750.0
Kocasinan / Fevziçakmak,2+1,14000.0
Melikgazi / Şeker/Keykubat,3+1,13000.0
Kocasinan / Erkilet,3+1,10000.0
Kocasinan / Fevziçakmak,3+1,10000.0
Melikgazi / Kazımkarabekir,3+1,12500.0
Melikgazi / Hürriyet,3+1,12500.0
Talas,1+1,14000.0
Melikgazi / Mimarsinan,2+1,12000.0
Kocasinan / Yenişehir,3+1,13500.0
Develi,3+1,10000.0
Melikgazi / Şeker/Keykubat,2+1,14500.0
Melikgazi / Şeker/Keykubat,3+1,12500.0
Melikgazi / Şeker/Keykubat,3+1,13000.0
Talas,2+1,13000.0
Kocasinan / İldem/Beyazşehir,3+1,14000.0
İncesu,2+1,10000.0
Melikgazi / Mimarsinan,2+1,10500.0
Kocasinan / Merkez,2+1,14000.0
Kocasinan / Merkez,2+1,12000.0
Kocasinan / Erkilet,2+1,13000.0
Kocasinan / Sanayi,3+1,12000.0
Talas,3+1,12000.0
Kocasinan / Yenişehir,3+1,10300.0
Kocasinan / Sanayi,3+1,13500.0
Kocasinan / Fevziçakmak,3+1,10000.0
Melikgazi / Gesi,3+1,14000.0
Develi,3+1,14500.0
Kocasinan / Sanayi,3+1,13500.0
Melikgazi / Kılıçaslan,3+1,14500.0
Kocasinan / Merkez,2+1,14000.0
Kocasinan / Yenişehir,3+1,12000.0
Melikgazi / Şeker/Keykubat,3+1,13400.0
Melikgazi / Mimarsinan,3+1,10500.0
Melikgazi / Kılıçaslan,2+1,10500.0
Kocasinan / Yenişehir,3+1,12500.0
Melikgazi / Mimarsinan,3+1,12000.0
Kocasinan / Merkez,2+1,14500.0
Melikgazi / Mimarsinan,2+1,11000.0
Kocasinan / Yenimahalle,3+1,13000.0
Melikgazi / Mimarsinan,3+1,10500.0
Kocasinan / İldem/Beyazşehir,2+1,10000.0
Talas,3+1,12500.0
Kocasinan / Merkez,4+0,14500.0
Kocasinan / Merkez,3+1,13000.0
Melikgazi / Gesi,2+1,14500.0
Kocasinan / Sanayi,3+1,10000.0
Melikgazi / Mimarsinan,3+1,12000.0
Kocasinan / Sanayi,3+1,13000.0
Kocasinan / Sanayi,3+1,13000.0
Kocasinan / Yenimahalle,3+1,11000.0
Melikgazi / Mimarsinan,2+1,10500.0
Melikgazi / Mimarsinan,2+1,11000.0
Melikgazi / Gesi,2+1,10500.0
Melikgazi / Mimarsinan,3+1,12500.0
Kocasinan / Yenimahalle,3+1,13500.0
Talas,3+1,14500.0
Talas,3+1,14750.0
Melikgazi / Mimarsinan,2+1,10000.0
Kocasinan / Yenimahalle,2+1,14500.0
Kocasinan / Fevziçakmak,3+1,12000.0
Talas,2+1,10000.0
Kocasinan / İldem/Beyazşehir,3+1,14000.0
Melikgazi / Mimarsinan,2+1,12000.0
Kocasinan / İldem/Beyazşehir,3+1,12000.0
Melikgazi / Mimarsinan,3+1,12500.0
Melikgazi / Şeker/Keykubat,3+1,14000.0
Melikgazi / Becen,3+1,10000.0
Melikgazi / Şeker/Keykubat,3+1,12500.0
Melikgazi / Kazımkarabekir,3+1,12000.0
Talas,3+1,14500.0
Kocasinan / Yenimahalle,3+1,10000.0
Kocasinan / Yenişehir,2+1,12500.0
Melikgazi / Mimarsinan,3+1,12000.0
Kocasinan / Merkez,3+1,14000.0
Melikgazi / Hürriyet,2+1,14000.0
Melikgazi / Kazımkarabekir,3+1,13000.0
Kocasinan / Yenişehir,3+1,12000.0
Melikgazi / Mimarsinan,2+1,12000.0
Melikgazi / Şeker/Keykubat,3+1,13000.0
Melikgazi / Şeker/Keykubat,3+1,11000.0
Melikgazi / Gesi,3+1,14500.0
Melikgazi / Mimarsinan,3+1,12000.0
Melikgazi / Çiftlik,3+1,11500.0
Kocasinan / Sanayi,2+1,12000.0
Melikgazi / Mimarsinan,3+1,14500.0
Melikgazi / Kılıçaslan,2+1,13500.0
Melikgazi / Şeker/Keykubat,3+1,13250.0
